epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4488,2.82758,9.09822,2.70997,0.0593,0.225,0.05911,0.02044,2.65962,9.88616,2.36446,7.145e-05,7.145e-05,7.145e-05
2,39.5585,2.82855,11.8316,2.79811,0.05061,0.2,0.05175,0.01653,2.64347,9.95288,2.34056,0.000150965,0.000150965,0.000150965
3,47.7211,2.46999,7.46121,2.20022,0.15446,0.19643,0.12989,0.06123,2.08072,13.6899,1.83237,0.00022369,0.00022369,0.00022369
4,55.7995,1.94558,4.84787,1.91229,0.1487,0.50417,0.19956,0.08276,1.89784,12.7308,1.68624,0.000289624,0.000289624,0.000289624
5,70.7777,1.74774,3.867,1.52737,0.28623,0.40833,0.25122,0.10005,1.75524,8.30699,1.533,0.000348767,0.000348767,0.000348767
6,85.7911,1.72224,4.08818,1.52456,0.21632,0.36845,0.18627,0.08474,1.74334,12.3312,1.50271,0.00040112,0.00040112,0.00040112
7,94.9687,1.54602,3.67449,1.38887,0.30757,0.44762,0.29318,0.14161,1.77892,4.81516,1.62475,0.000446683,0.000446683,0.000446683
8,105.814,1.51732,3.58071,1.34421,0.30757,0.44762,0.29318,0.14161,1.77892,4.81516,1.62475,0.000485454,0.000485454,0.000485454
9,118.678,1.56252,4.08018,1.46804,0.18638,0.48333,0.20761,0.0972,1.97919,4.66844,1.82684,0.000517435,0.000517435,0.000517435
10,126.654,1.79818,4.89492,2.00964,0.31154,0.42738,0.2765,0.14895,1.67612,3.67357,1.48941,0.000542626,0.000542626,0.000542626
11,139.128,1.73457,3.40215,1.4407,0.31154,0.42738,0.2765,0.14895,1.67612,3.67357,1.48941,0.000561025,0.000561025,0.000561025
12,149.447,1.76826,3.59789,1.43453,0.32721,0.45952,0.33779,0.19468,1.52747,3.34684,1.37006,0.000572635,0.000572635,0.000572635
13,158.802,1.77335,3.13022,1.5505,0.32721,0.45952,0.33779,0.19468,1.52747,3.34684,1.37006,0.000577453,0.000577453,0.000577453
14,175.792,1.79437,3.32759,1.56154,0.32721,0.45952,0.33779,0.19468,1.52747,3.34684,1.37006,0.000575481,0.000575481,0.000575481
15,185.219,1.55067,2.66136,1.34429,0.54708,0.39881,0.43107,0.27326,1.30717,2.68564,1.24276,0.000566719,0.000566719,0.000566719
16,197.008,1.60737,3.53217,1.46279,0.54708,0.39881,0.43107,0.27326,1.30717,2.68564,1.24276,0.000551165,0.000551165,0.000551165
17,205.498,1.8079,3.73391,1.62405,0.40874,0.49681,0.50416,0.31583,1.27074,2.31281,1.22555,0.000523586,0.000523586,0.000523586
18,217.684,1.40403,3.40053,1.41228,0.40874,0.49681,0.50416,0.31583,1.27074,2.31281,1.22555,0.000466997,0.000466997,0.000466997
19,228.101,1.59538,3.7964,1.46037,0.40874,0.49681,0.50416,0.31583,1.27074,2.31281,1.22555,0.000410409,0.000410409,0.000410409
20,238.395,1.38059,3.13927,1.32479,0.52081,0.48354,0.54877,0.36543,1.2034,2.00548,1.17996,0.00035382,0.00035382,0.00035382
21,248.658,1.454,3.17808,1.43752,0.52081,0.48354,0.54877,0.36543,1.2034,2.00548,1.17996,0.000297232,0.000297232,0.000297232
22,259.747,1.45375,3.06283,1.49856,0.52081,0.48354,0.54877,0.36543,1.2034,2.00548,1.17996,0.000240644,0.000240644,0.000240644
23,275.911,1.40139,2.87468,1.3691,0.50832,0.55238,0.57208,0.39125,1.18124,1.91988,1.15834,0.000184055,0.000184055,0.000184055
24,285.228,1.37687,3.09972,1.40611,0.50832,0.55238,0.57208,0.39125,1.18124,1.91988,1.15834,0.000127467,0.000127467,0.000127467
25,297.615,1.33808,2.82154,1.22338,0.50265,0.61432,0.58443,0.39829,1.16416,1.83135,1.1545,7.08784e-05,7.08784e-05,7.08784e-05
