epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.472,1.35529,1.71666,1.05808,0.62,0.74524,0.69929,0.4817,1.07942,1.36059,1.0002,0.000848969,0.000848969,0.000848969
43,65.2345,1.39816,1.74405,1.09666,0.62,0.74524,0.69929,0.4817,1.07942,1.36059,1.0002,0.000834822,0.000834822,0.000834822
44,67.4892,1.3746,1.82197,1.09098,0.61367,0.82954,0.72631,0.48391,1.06315,1.39137,1.00515,0.000820675,0.000820675,0.000820675
45,69.0792,1.26894,1.57436,1.01136,0.61367,0.82954,0.72631,0.48391,1.06315,1.39137,1.00515,0.000806528,0.000806528,0.000806528
46,70.3927,1.32005,1.7668,1.0497,0.61367,0.82954,0.72631,0.48391,1.06315,1.39137,1.00515,0.00079238,0.00079238,0.00079238
47,71.585,1.26597,1.60928,1.01476,0.62967,0.82276,0.72353,0.48666,1.08863,1.45473,1.00726,0.000778233,0.000778233,0.000778233
48,72.8348,1.30095,1.60899,1.07627,0.62967,0.82276,0.72353,0.48666,1.08863,1.45473,1.00726,0.000764086,0.000764086,0.000764086
49,74.0346,1.2872,1.62584,1.05911,0.67266,0.79524,0.7734,0.55412,1.04382,1.35165,0.98963,0.000749939,0.000749939,0.000749939
50,75.459,1.2426,1.50612,0.99804,0.67266,0.79524,0.7734,0.55412,1.04382,1.35165,0.98963,0.000735792,0.000735792,0.000735792
51,76.765,1.27929,1.62362,1.06594,0.67266,0.79524,0.7734,0.55412,1.04382,1.35165,0.98963,0.000721645,0.000721645,0.000721645
52,77.9112,1.25782,1.68063,1.01898,0.65774,0.8258,0.80159,0.56956,1.04759,1.26943,0.98695,0.000707498,0.000707498,0.000707498
53,79.9433,1.34031,1.64454,1.07147,0.65774,0.8258,0.80159,0.56956,1.04759,1.26943,0.98695,0.000693351,0.000693351,0.000693351
54,81.8301,1.31368,1.58411,0.98859,0.65774,0.8258,0.80159,0.56956,1.04759,1.26943,0.98695,0.000679204,0.000679204,0.000679204
55,83.3961,1.26028,1.59404,1.02242,0.69395,0.82111,0.82117,0.57943,1.04133,1.2324,0.98099,0.000665057,0.000665057,0.000665057
56,84.6559,1.20643,1.61745,1.01895,0.69395,0.82111,0.82117,0.57943,1.04133,1.2324,0.98099,0.000650909,0.000650909,0.000650909
57,85.9551,1.1836,1.5701,1.02531,0.7073,0.78036,0.81212,0.5912,0.99486,1.18276,0.96711,0.000636762,0.000636762,0.000636762
58,87.1015,1.26931,1.61219,1.06291,0.7073,0.78036,0.81212,0.5912,0.99486,1.18276,0.96711,0.000622615,0.000622615,0.000622615
59,88.4329,1.21111,1.55121,1.0346,0.7073,0.78036,0.81212,0.5912,0.99486,1.18276,0.96711,0.000608468,0.000608468,0.000608468
60,89.797,1.25708,1.59823,1.05487,0.68136,0.83052,0.82652,0.61802,0.93414,1.14695,0.96035,0.000594321,0.000594321,0.000594321
61,90.9737,1.15719,1.64156,0.97369,0.68136,0.83052,0.82652,0.61802,0.93414,1.14695,0.96035,0.000580174,0.000580174,0.000580174
62,92.4937,1.16314,1.47556,1.01116,0.68136,0.83052,0.82652,0.61802,0.93414,1.14695,0.96035,0.000566027,0.000566027,0.000566027
63,95.3618,1.17311,1.60427,1.00946,0.69142,0.80774,0.83069,0.61366,0.93391,1.14615,0.95824,0.00055188,0.00055188,0.00055188
64,97.1662,1.22128,1.60426,1.09286,0.69142,0.80774,0.83069,0.61366,0.93391,1.14615,0.95824,0.000537733,0.000537733,0.000537733
65,98.5563,1.16739,1.57328,0.99859,0.69027,0.81804,0.84328,0.61216,0.92443,1.13584,0.95044,0.000523586,0.000523586,0.000523586
66,99.7033,1.16333,1.52503,0.98009,0.69027,0.81804,0.84328,0.61216,0.92443,1.13584,0.95044,0.000509438,0.000509438,0.000509438
